NAV,Date
43.16,01-Jan-20
43.26,02-Jan-20
43.11,03-Jan-20
42.42,06-Jan-20
42.62,07-Jan-20
42.8,08-Jan-20
43.26,09-Jan-20
43.3,10-Jan-20
43.48,13-Jan-20
43.84,14-Jan-20
44.14,15-Jan-20
44.33,16-Jan-20
44.51,17-Jan-20
44.21,20-Jan-20
44.12,21-Jan-20
44.02,22-Jan-20
44.5,23-Jan-20
44.9,24-Jan-20
44.88,27-Jan-20
45.08,28-Jan-20
45.16,29-Jan-20
45.08,30-Jan-20
45.16,31-Jan-20
44.72,03-Feb-20
45.19,04-Feb-20
45.58,05-Feb-20
45.88,06-Feb-20
46.21,07-Feb-20
46.17,10-Feb-20
46.11,11-Feb-20
46.36,12-Feb-20
46.35,13-Feb-20
46.1,14-Feb-20
45.75,17-Feb-20
45.62,18-Feb-20
46.36,19-Feb-20
46.59,20-Feb-20
46.08,24-Feb-20
45.71,25-Feb-20
45.3,26-Feb-20
45.15,27-Feb-20
44.39,28-Feb-20
44.13,02-Mar-20
44.71,03-Mar-20
43.95,04-Mar-20
44.06,05-Mar-20
43.58,06-Mar-20
42.47,09-Mar-20
42.26,11-Mar-20
39.9,12-Mar-20
40.77,13-Mar-20
38.97,16-Mar-20
38.34,17-Mar-20
36.59,18-Mar-20
35.23,19-Mar-20
36.76,20-Mar-20
32.91,23-Mar-20
33.42,24-Mar-20
34.47,25-Mar-20
35.52,26-Mar-20
35.26,27-Mar-20
34.67,30-Mar-20
35.53,31-Mar-20
34.99,01-Apr-20
34.99,01-Apr-20
34.64,03-Apr-20
34.64,03-Apr-20
36.18,07-Apr-20
36.18,07-Apr-20
36.99,08-Apr-20
36.99,08-Apr-20
37.93,09-Apr-20
37.93,09-Apr-20
37.29,13-Apr-20
37.29,13-Apr-20
37.34,15-Apr-20
37.34,15-Apr-20
37.65,16-Apr-20
37.65,16-Apr-20
38.21,17-Apr-20
38.21,17-Apr-20
38.06,20-Apr-20
38.06,20-Apr-20
37.32,21-Apr-20
37.32,21-Apr-20
37.56,22-Apr-20
37.56,22-Apr-20
37.93,23-Apr-20
37.93,23-Apr-20
37.5,24-Apr-20
37.5,24-Apr-20
38.26,27-Apr-20
38.26,27-Apr-20
38.47,28-Apr-20
38.47,28-Apr-20
38.91,29-Apr-20
38.91,29-Apr-20
39.44,30-Apr-20
39.44,30-Apr-20
38.23,04-May-20
38.23,04-May-20
37.83,05-May-20
37.83,05-May-20
38.18,06-May-20
38.18,06-May-20
37.98,07-May-20
37.98,07-May-20
38.04,08-May-20
38.04,08-May-20
38.24,11-May-20
38.24,11-May-20
38.11,12-May-20
38.11,12-May-20
38.47,13-May-20
38.47,13-May-20
38.38,14-May-20
38.38,14-May-20
38.25,15-May-20
38.25,15-May-20
37.19,18-May-20
37.19,18-May-20
37.38,19-May-20
37.38,19-May-20
37.98,20-May-20
37.98,20-May-20
38.2,21-May-20
38.2,21-May-20
37.96,22-May-20
37.96,22-May-20
38.1,26-May-20
38.1,26-May-20
38.01,27-May-20
38.01,27-May-20
38.5,28-May-20
38.5,28-May-20
38.74,29-May-20
38.74,29-May-20
39.67,01-Jun-20
39.67,01-Jun-20
40.16,02-Jun-20
40.16,02-Jun-20
40.38,03-Jun-20
40.38,03-Jun-20
40.25,04-Jun-20
40.25,04-Jun-20
40.69,05-Jun-20
40.69,05-Jun-20
40.5,08-Jun-20
40.5,08-Jun-20
40.21,09-Jun-20
