NAV,Date
211.241,01-Jan-20
213.141,02-Jan-20
212.136,03-Jan-20
208.011,06-Jan-20
208.385,07-Jan-20
207.461,08-Jan-20
210.74,09-Jan-20
211.639,10-Jan-20
213.278,13-Jan-20
213.662,14-Jan-20
213.681,15-Jan-20
213.084,16-Jan-20
212.598,17-Jan-20
211.35,20-Jan-20
210.161,21-Jan-20
209.298,22-Jan-20
211.49,23-Jan-20
212.54,24-Jan-20
211.155,27-Jan-20
209.844,28-Jan-20
211.072,29-Jan-20
209.806,30-Jan-20
208.256,31-Jan-20
202.249,03-Feb-20
205.986,04-Feb-20
207.989,05-Feb-20
209.319,06-Feb-20
209.685,07-Feb-20
207.69,10-Feb-20
208.958,11-Feb-20
209.102,12-Feb-20
208.859,13-Feb-20
207.303,14-Feb-20
205.465,17-Feb-20
205.68,18-Feb-20
207.911,19-Feb-20
208.673,20-Feb-20
204.799,24-Feb-20
204.568,25-Feb-20
202.559,26-Feb-20
201.567,27-Feb-20
195.075,28-Feb-20
193.2,02-Mar-20
196.875,03-Mar-20
196.119,04-Mar-20
195.889,05-Mar-20
190.822,06-Mar-20
182.655,09-Mar-20
181.542,11-Mar-20
166.703,12-Mar-20
173.922,13-Mar-20
163.878,16-Mar-20
160.956,17-Mar-20
156.654,18-Mar-20
152.12,19-Mar-20
158.266,20-Mar-20
142.611,23-Mar-20
144.505,24-Mar-20
148.661,25-Mar-20
152.656,26-Mar-20
155.034,27-Mar-20
151.595,30-Mar-20
157.176,31-Mar-20
152.819,01-Apr-20
152.819,01-Apr-20
151.077,03-Apr-20
151.077,03-Apr-20
159.061,07-Apr-20
159.061,07-Apr-20
158.572,08-Apr-20
158.572,08-Apr-20
162.91,09-Apr-20
162.91,09-Apr-20
162.905,13-Apr-20
162.905,13-Apr-20
163.257,15-Apr-20
163.257,15-Apr-20
166.145,16-Apr-20
166.145,16-Apr-20
170.273,17-Apr-20
170.273,17-Apr-20
169.174,20-Apr-20
169.174,20-Apr-20
164.93,21-Apr-20
164.93,21-Apr-20
166.54,22-Apr-20
166.54,22-Apr-20
167.362,23-Apr-20
167.362,23-Apr-20
164.787,24-Apr-20
164.787,24-Apr-20
166.101,27-Apr-20
166.101,27-Apr-20
166.244,28-Apr-20
166.244,28-Apr-20
168.739,29-Apr-20
168.739,29-Apr-20
172.498,30-Apr-20
172.498,30-Apr-20
165.535,04-May-20
165.535,04-May-20
164.28,05-May-20
164.28,05-May-20
164.378,06-May-20
164.378,06-May-20
162.976,07-May-20
162.976,07-May-20
161.759,08-May-20
161.759,08-May-20
161.278,11-May-20
161.278,11-May-20
161.697,12-May-20
161.697,12-May-20
165.928,13-May-20
165.928,13-May-20
162.896,14-May-20
162.896,14-May-20
162.573,15-May-20
162.573,15-May-20
157.604,18-May-20
157.604,18-May-20
157.753,19-May-20
157.753,19-May-20
160.176,20-May-20
160.176,20-May-20
160.898,21-May-20
160.898,21-May-20
159.737,22-May-20
159.737,22-May-20
160.43,26-May-20
160.43,26-May-20
164.13,27-May-20
164.13,27-May-20
165.943,28-May-20
165.943,28-May-20
168.075,29-May-20
168.075,29-May-20
171.388,01-Jun-20
171.388,01-Jun-20
172.427,02-Jun-20
172.427,02-Jun-20
173.31,03-Jun-20
173.31,03-Jun-20
173.427,04-Jun-20
173.427,04-Jun-20
177.469,05-Jun-20
177.469,05-Jun-20
178.738,08-Jun-20
178.738,08-Jun-20
176.722,09-Jun-20
176.722,09-Jun-20
177.495,10-Jun-20
177.495,10-Jun-20
174.437,11-Jun-20
174.437,11-Jun-20
174.691,12-Jun-20
174.691,12-Jun-20
172.144,15-Jun-20
172.144,15-Jun-20
172.481,16-Jun-20
172.481,16-Jun-20
172.016,17-Jun-20
172.016,17-Jun-20
175.614,18-Jun-20
175.614,18-Jun-20
177.61,19-Jun-20
177.61,19-Jun-20
180.907,22-Jun-20
180.907,22-Jun-20
184.117,23-Jun-20
184.117,23-Jun-20
180.553,24-Jun-20
180.553,24-Jun-20
180.789,25-Jun-20
180.789,25-Jun-20
181.793,26-Jun-20
179.002,29-Jun-20
178.498,30-Jun-20
180.108,01-Jul-20
181.258,02-Jul-20
181.919,03-Jul-20
183.695,06-Jul-20
183.145,07-Jul-20
182.571,08-Jul-20
183.701,09-Jul-20
182.512,10-Jul-20
182.226,13-Jul-20
179.11,14-Jul-20
179.153,15-Jul-20
180.629,16-Jul-20
183.451,17-Jul-20
184.219,20-Jul-20
187.193,21-Jul-20
187.232,22-Jul-20
188.727,23-Jul-20
187.197,24-Jul-20
185.132,27-Jul-20
185.825,28-Jul-20
186.23,29-Jul-20
183.866,30-Jul-20
184.762,31-Jul-20
184.196,03-Aug-20
185.269,04-Aug-20
185.738,05-Aug-20
187.413,06-Aug-20
187.228,07-Aug-20
189.922,10-Aug-20
190.912,11-Aug-20
191.582,12-Aug-20
192.357,13-Aug-20
190.828,14-Aug-20
192.564,17-Aug-20
193.641,18-Aug-20
194.613,19-Aug-20
195.548,20-Aug-20
196.879,21-Aug-20
197.009,24-Aug-20
197.291,25-Aug-20
197.822,26-Aug-20
198.144,27-Aug-20
199.757,28-Aug-20
193.369,31-Aug-20
194.572,01-Sep-20
195.47,02-Sep-20
194.9,03-Sep-20
191.307,04-Sep-20
190.847,07-Sep-20
189.158,08-Sep-20
186.978,09-Sep-20
189.015,10-Sep-20
189.19,11-Sep-20
188.956,14-Sep-20
190.17,15-Sep-20
190.556,16-Sep-20
189.388,17-Sep-20
189.592,18-Sep-20
184.916,21-Sep-20
183.229,22-Sep-20
182.119,23-Sep-20
177.204,24-Sep-20
181.219,25-Sep-20
184.787,28-Sep-20
183.373,29-Sep-20
182.769,30-Sep-20
184.905,01-Oct-20
185.283,05-Oct-20
185.951,06-Oct-20
184.804,07-Oct-20
185.081,08-Oct-20
186.971,09-Oct-20
186.361,12-Oct-20
185.589,13-Oct-20
185.533,14-Oct-20
182.549,15-Oct-20
