NAV,Date
21.1056,01-Jan-20
21.114,02-Jan-20
21.1282,03-Jan-20
21.1239,06-Jan-20
21.1315,07-Jan-20
21.1392,08-Jan-20
21.1569,09-Jan-20
21.1456,10-Jan-20
21.1553,13-Jan-20
21.1404,14-Jan-20
21.1548,15-Jan-20
21.1675,16-Jan-20
21.1753,17-Jan-20
21.1869,20-Jan-20
21.1949,21-Jan-20
21.2059,22-Jan-20
21.2157,23-Jan-20
21.228,24-Jan-20
21.2433,27-Jan-20
21.2443,28-Jan-20
21.2442,29-Jan-20
21.2474,30-Jan-20
21.248,31-Jan-20
21.286,03-Feb-20
21.295,04-Feb-20
21.3006,05-Feb-20
21.3592,06-Feb-20
21.3843,07-Feb-20
21.3995,10-Feb-20
21.4075,11-Feb-20
21.4071,12-Feb-20
21.4254,13-Feb-20
21.4412,14-Feb-20
21.4537,17-Feb-20
21.4499,18-Feb-20
21.4474,20-Feb-20
21.4655,24-Feb-20
21.4622,25-Feb-20
21.4724,26-Feb-20
21.4641,27-Feb-20
21.4462,28-Feb-20
21.4559,02-Mar-20
21.4603,03-Mar-20
21.4957,04-Mar-20
21.502,05-Mar-20
21.5076,06-Mar-20
21.5146,09-Mar-20
21.4887,11-Mar-20
21.4107,12-Mar-20
21.3434,13-Mar-20
21.3554,16-Mar-20
21.3,17-Mar-20
21.2363,18-Mar-20
21.0932,19-Mar-20
21.175,20-Mar-20
21.0827,23-Mar-20
21.0856,24-Mar-20
21.1006,26-Mar-20
21.4858,27-Mar-20
21.4672,30-Mar-20
21.5101,31-Mar-20
21.4901,03-Apr-20
21.4901,03-Apr-20
21.4252,07-Apr-20
21.4252,07-Apr-20
21.3685,08-Apr-20
21.3685,08-Apr-20
21.3749,09-Apr-20
21.3749,09-Apr-20
21.3988,13-Apr-20
21.3988,13-Apr-20
21.4296,15-Apr-20
21.4296,15-Apr-20
21.4668,16-Apr-20
21.4668,16-Apr-20
21.5529,17-Apr-20
21.5529,17-Apr-20
21.6387,20-Apr-20
21.6387,20-Apr-20
21.6627,21-Apr-20
21.6627,21-Apr-20
21.6718,22-Apr-20
21.6718,22-Apr-20
21.7441,23-Apr-20
21.7441,23-Apr-20
21.6406,24-Apr-20
21.6406,24-Apr-20
21.6459,27-Apr-20
21.6459,27-Apr-20
21.6166,28-Apr-20
21.6166,28-Apr-20
21.6249,29-Apr-20
21.6249,29-Apr-20
21.6485,30-Apr-20
21.6485,30-Apr-20
21.6959,04-May-20
21.6959,04-May-20
21.7462,05-May-20
21.7462,05-May-20
21.7842,06-May-20
21.7842,06-May-20
21.8299,08-May-20
21.8299,08-May-20
21.786,11-May-20
21.786,11-May-20
21.8095,12-May-20
21.8095,12-May-20
21.8362,13-May-20
21.8362,13-May-20
21.8605,14-May-20
21.8605,14-May-20
21.876,15-May-20
21.876,15-May-20
21.9065,18-May-20
21.9065,18-May-20
21.9374,19-May-20
21.9374,19-May-20
21.9525,20-May-20
21.9525,20-May-20
21.9858,21-May-20
21.9858,21-May-20
22.0696,22-May-20
22.0696,22-May-20
22.0935,26-May-20
22.0935,26-May-20
22.0906,27-May-20
22.0906,27-May-20
22.0944,28-May-20
22.0944,28-May-20
22.0935,29-May-20
22.0935,29-May-20
22.0835,01-Jun-20
22.0835,01-Jun-20
22.092,02-Jun-20
22.092,02-Jun-20
22.1081,03-Jun-20
22.1081,03-Jun-20
22.1138,04-Jun-20
22.1138,04-Jun-20
22.1127,05-Jun-20
22.1127,05-Jun-20
22.1243,08-Jun-20
22.1243,08-Jun-20
22.1419,09-Jun-20
22.1419,09-Jun-20
22.1562,10-Jun-20
22.1562,10-Jun-20
22.174,11-Jun-20
22.174,11-Jun-20
22.1759,12-Jun-20
22.1759,12-Jun-20
22.1943,15-Jun-20
22.1943,15-Jun-20
22.2072,16-Jun-20
22.2072,16-Jun-20
22.2279,17-Jun-20
22.2279,17-Jun-20
22.2737,18-Jun-20
22.2737,18-Jun-20
22.3033,19-Jun-20
22.3033,19-Jun-20
22.3381,22-Jun-20
22.3381,22-Jun-20
22.3561,23-Jun-20
22.3561,23-Jun-20
22.3598,24-Jun-20
22.3598,24-Jun-20
22.388,25-Jun-20
22.388,25-Jun-20
22.4076,26-Jun-20
22.4298,29-Jun-20
22.4469,30-Jun-20
22.4735,01-Jul-20
22.4931,02-Jul-20
22.5101,03-Jul-20
22.539,06-Jul-20
22.582,07-Jul-20
22.6095,08-Jul-20
22.6257,09-Jul-20
22.6733,10-Jul-20
22.6884,13-Jul-20
22.6775,14-Jul-20
22.7025,15-Jul-20
22.7163,16-Jul-20
22.7222,17-Jul-20
22.7411,20-Jul-20
22.7322,21-Jul-20
22.73,22-Jul-20
22.7382,23-Jul-20
22.7372,24-Jul-20
22.7268,27-Jul-20
22.7155,28-Jul-20
22.7227,29-Jul-20
22.7218,30-Jul-20
22.7377,31-Jul-20
22.7438,03-Aug-20
22.7518,04-Aug-20
22.761,05-Aug-20
22.7451,06-Aug-20
22.7339,07-Aug-20
22.7361,10-Aug-20
22.7378,11-Aug-20
22.7417,12-Aug-20
22.7528,13-Aug-20
22.7348,14-Aug-20
22.7388,17-Aug-20
22.7366,18-Aug-20
22.7314,19-Aug-20
22.7418,20-Aug-20
22.6744,21-Aug-20
22.6254,24-Aug-20
22.6509,25-Aug-20
22.6339,26-Aug-20
22.6326,27-Aug-20
22.6281,28-Aug-20
22.6804,31-Aug-20
22.7934,01-Sep-20
22.806,02-Sep-20
22.8255,03-Sep-20
22.8252,04-Sep-20
22.8024,07-Sep-20
22.7539,08-Sep-20
22.7725,09-Sep-20
22.76,10-Sep-20
22.7508,11-Sep-20
22.7619,14-Sep-20
22.7589,15-Sep-20
22.7747,16-Sep-20
22.7694,17-Sep-20
22.7744,18-Sep-20
22.7861,21-Sep-20
22.7908,22-Sep-20
22.7963,23-Sep-20
22.7969,24-Sep-20
22.7887,25-Sep-20
22.792,28-Sep-20
22.789,29-Sep-20
22.8087,30-Sep-20
22.83,01-Oct-20
22.8462,05-Oct-20
22.8428,06-Oct-20
22.8583,07-Oct-20
22.8704,08-Oct-20
22.954,09-Oct-20
22.985,12-Oct-20
23.0027,13-Oct-20
23.0132,14-Oct-20
23.0294,15-Oct-20
23.0296,16-Oct-20
23.0401,19-Oct-20
23.0593,20-Oct-20
23.0672,21-Oct-20
23.0706,22-Oct-20
23.0999,23-Oct-20
23.1255,26-Oct-20
23.1243,27-Oct-20
23.122,28-Oct-20
23.1127,29-Oct-20
23.1226,02-Nov-20
23.1174,03-Nov-20
23.1251,04-Nov-20
23.1481,05-Nov-20
23.1575,06-Nov-20
23.155,09-Nov-20
23.1466,10-Nov-20
23.1536,11-Nov-20
23.1605,12-Nov-20
23.178,13-Nov-20
23.1947,17-Nov-20
23.2002,18-Nov-20
23.2218,19-Nov-20
23.2286,20-Nov-20
23.2368,23-Nov-20
23.2476,24-Nov-20
23.2626,25-Nov-20
23.2788,26-Nov-20
23.2705,27-Nov-20
23.2677,01-Dec-20
23.2685,02-Dec-20
23.2706,03-Dec-20
23.2933,04-Dec-20
23.2998,07-Dec-20
23.2968,08-Dec-20
23.3044,09-Dec-20
23.3069,10-Dec-20
23.2933,11-Dec-20
23.2983,14-Dec-20
23.3087,15-Dec-20
23.311,16-Dec-20
23.3074,17-Dec-20
23.3125,18-Dec-20
23.3196,21-Dec-20
23.3203,22-Dec-20
23.324,23-Dec-20
23.333,24-Dec-20
23.352,28-Dec-20
23.3527,29-Dec-20
23.3656,30-Dec-20
23.365,31-Dec-20
23.3747,01-Jan-21
23.3934,04-Jan-21
23.4037,05-Jan-21
23.4047,06-Jan-21
23.4041,07-Jan-21
23.4068,08-Jan-21
23.3987,11-Jan-21
23.3991,12-Jan-21
23.3909,13-Jan-21
23.3824,14-Jan-21
23.3789,15-Jan-21
23.3702,18-Jan-21
23.3728,19-Jan-21
23.3769,20-Jan-21
23.3798,21-Jan-21
23.3767,22-Jan-21
23.3758,25-Jan-21
23.3804,27-Jan-21
23.387,28-Jan-21
23.3877,29-Jan-21
23.3494,01-Feb-21
23.3249,02-Feb-21
23.3323,03-Feb-21
23.3329,04-Feb-21
23.3247,05-Feb-21
23.3417,08-Feb-21
23.3291,09-Feb-21
23.3278,10-Feb-21
23.329,11-Feb-21
23.3359,12-Feb-21
23.3444,15-Feb-21
23.3508,16-Feb-21
23.352,17-Feb-21
23.3503,18-Feb-21
23.3407,22-Feb-21
23.336,23-Feb-21
23.3423,24-Feb-21
23.3414,25-Feb-21
23.3336,26-Feb-21
23.3454,01-Mar-21
23.3544,02-Mar-21
23.3594,03-Mar-21
23.3586,04-Mar-21
23.3502,05-Mar-21
23.3556,08-Mar-21
23.3539,09-Mar-21
23.3502,10-Mar-21
23.3268,12-Mar-21
23.3178,15-Mar-21
23.3309,16-Mar-21
23.3424,17-Mar-21
23.3467,18-Mar-21
23.3727,19-Mar-21
23.4038,22-Mar-21
23.4413,23-Mar-21
23.4609,24-Mar-21
23.4696,25-Mar-21
23.4767,26-Mar-21
23.4989,30-Mar-21
23.5067,31-Mar-21
23.5338,05-Apr-21
23.5525,06-Apr-21
23.5632,07-Apr-21
23.5673,08-Apr-21
23.5593,09-Apr-21
23.5602,12-Apr-21
23.55,15-Apr-21
23.5485,16-Apr-21
23.5626,19-Apr-21
23.5695,20-Apr-21
23.5816,22-Apr-21
23.5827,23-Apr-21
23.6007,26-Apr-21
23.6163,27-Apr-21
23.6249,28-Apr-21
23.6268,29-Apr-21
23.6389,30-Apr-21
23.6478,03-May-21
23.6491,04-May-21
23.6571,05-May-21
23.6631,06-May-21
23.6621,07-May-21
23.6699,10-May-21
23.6818,11-May-21
