NAV,Date
41.6967,01-Jan-20
42.3014,02-Jan-20
42.2612,03-Jan-20
41.2846,06-Jan-20
41.7622,07-Jan-20
41.7311,08-Jan-20
42.4596,09-Jan-20
42.7904,10-Jan-20
43.2852,13-Jan-20
43.6431,14-Jan-20
44.039,15-Jan-20
44.389,16-Jan-20
44.6123,17-Jan-20
44.3645,20-Jan-20
44.2501,21-Jan-20
44.193,22-Jan-20
44.448,23-Jan-20
44.5654,24-Jan-20
44.5225,27-Jan-20
44.4756,28-Jan-20
44.6652,29-Jan-20
44.189,30-Jan-20
44.1082,31-Jan-20
43.2079,03-Feb-20
43.8847,04-Feb-20
44.254,05-Feb-20
44.5088,06-Feb-20
44.5715,07-Feb-20
44.3218,10-Feb-20
44.4459,11-Feb-20
44.5336,12-Feb-20
44.4588,13-Feb-20
44.4542,14-Feb-20
44.0987,17-Feb-20
44.0258,18-Feb-20
44.7076,19-Feb-20
44.9316,20-Feb-20
44.1454,24-Feb-20
44.2234,25-Feb-20
43.8455,26-Feb-20
43.4359,27-Feb-20
41.6951,28-Feb-20
41.4882,02-Mar-20
41.8489,03-Mar-20
41.1409,04-Mar-20
41.4008,05-Mar-20
40.7777,06-Mar-20
38.9735,09-Mar-20
38.7285,11-Mar-20
35.672,12-Mar-20
36.2752,13-Mar-20
34.3604,16-Mar-20
33.497,17-Mar-20
31.4149,18-Mar-20
30.18,19-Mar-20
30.8543,20-Mar-20
27.0878,23-Mar-20
26.823,24-Mar-20
27.654,25-Mar-20
28.6876,26-Mar-20
28.9338,27-Mar-20
28.1241,30-Mar-20
29.1479,31-Mar-20
28.6995,01-Apr-20
28.6995,01-Apr-20
28.4268,03-Apr-20
28.4268,03-Apr-20
29.7816,07-Apr-20
29.7816,07-Apr-20
30.3582,08-Apr-20
30.3582,08-Apr-20
31.6128,09-Apr-20
31.6128,09-Apr-20
31.2908,13-Apr-20
31.2908,13-Apr-20
31.3376,15-Apr-20
31.3376,15-Apr-20
31.9044,16-Apr-20
31.9044,16-Apr-20
32.6257,17-Apr-20
32.6257,17-Apr-20
33.0351,20-Apr-20
33.0351,20-Apr-20
32.0275,21-Apr-20
32.0275,21-Apr-20
32.3121,22-Apr-20
32.3121,22-Apr-20
32.7177,23-Apr-20
32.7177,23-Apr-20
32.1731,24-Apr-20
