NAV,Date
44.2574,01-Jan-20
44.6484,02-Jan-20
44.3713,03-Jan-20
43.5184,06-Jan-20
43.7636,07-Jan-20
43.7077,08-Jan-20
44.4054,09-Jan-20
44.5881,10-Jan-20
44.8066,13-Jan-20
44.9,14-Jan-20
44.9114,15-Jan-20
45.0285,16-Jan-20
44.9569,17-Jan-20
44.5467,20-Jan-20
44.3,21-Jan-20
44.1933,22-Jan-20
44.633,23-Jan-20
45.0112,24-Jan-20
44.7343,27-Jan-20
44.5504,28-Jan-20
44.8418,29-Jan-20
44.572,30-Jan-20
44.3611,31-Jan-20
43.1412,03-Feb-20
44.0984,04-Feb-20
44.5834,05-Feb-20
44.8085,06-Feb-20
44.7394,07-Feb-20
44.319,10-Feb-20
44.5039,11-Feb-20
44.7122,12-Feb-20
44.5884,13-Feb-20
44.3462,14-Feb-20
44.0249,17-Feb-20
43.8626,18-Feb-20
44.3534,19-Feb-20
44.3041,20-Feb-20
43.436,24-Feb-20
43.2774,25-Feb-20
42.8508,26-Feb-20
42.6363,27-Feb-20
41.2981,28-Feb-20
41.076,02-Mar-20
41.7057,03-Mar-20
41.332,04-Mar-20
41.3667,05-Mar-20
40.519,06-Mar-20
39.0039,09-Mar-20
38.9105,11-Mar-20
35.702,12-Mar-20
36.8693,13-Mar-20
34.5136,16-Mar-20
33.7795,17-Mar-20
32.0292,18-Mar-20
31.1852,19-Mar-20
32.5202,20-Mar-20
28.3329,23-Mar-20
28.8656,24-Mar-20
30.643,25-Mar-20
31.7946,26-Mar-20
31.7481,27-Mar-20
30.5545,30-Mar-20
31.7215,31-Mar-20
30.5941,01-Apr-20
30.5941,01-Apr-20
29.9846,03-Apr-20
29.9846,03-Apr-20
32.302,07-Apr-20
32.302,07-Apr-20
32.3132,08-Apr-20
32.3132,08-Apr-20
33.7305,09-Apr-20
33.7305,09-Apr-20
33.3064,13-Apr-20
33.3064,13-Apr-20
33.3214,15-Apr-20
33.3214,15-Apr-20
33.7613,16-Apr-20
33.7613,16-Apr-20
34.6718,17-Apr-20
34.6718,17-Apr-20
34.5689,20-Apr-20
34.5689,20-Apr-20
33.6302,21-Apr-20
33.6302,21-Apr-20
34.1002,22-Apr-20
34.1002,22-Apr-20
34.4706,23-Apr-20
34.4706,23-Apr-20
33.7636,24-Apr-20
33.7636,24-Apr-20
34.3585,27-Apr-20
34.3585,27-Apr-20
34.6001,28-Apr-20
34.6001,28-Apr-20
35.2403,29-Apr-20
35.2403,29-Apr-20
36.2242,30-Apr-20
36.2242,30-Apr-20
34.2619,04-May-20
34.2619,04-May-20
33.9496,05-May-20
33.9496,05-May-20
34.2533,06-May-20
34.2533,06-May-20
33.9274,07-May-20
33.9274,07-May-20
34.0683,08-May-20
34.0683,08-May-20
34.1246,11-May-20
34.1246,11-May-20
34.1266,12-May-20
34.1266,12-May-20
34.7304,13-May-20
34.7304,13-May-20
33.9682,14-May-20
33.9682,14-May-20
33.8434,15-May-20
33.8434,15-May-20
32.4856,18-May-20
32.4856,18-May-20
32.6679,19-May-20
32.6679,19-May-20
33.431,20-May-20
33.431,20-May-20
33.5859,21-May-20
33.5859,21-May-20
33.2585,22-May-20
33.2585,22-May-20
33.4788,26-May-20
33.4788,26-May-20
34.3089,27-May-20
34.3089,27-May-20
35.0155,28-May-20
35.0155,28-May-20
35.5864,29-May-20
35.5864,29-May-20
36.2612,01-Jun-20
36.2612,01-Jun-20
36.6433,02-Jun-20
36.6433,02-Jun-20
36.9864,03-Jun-20
36.9864,03-Jun-20
36.8147,04-Jun-20
36.8147,04-Jun-20
37.3689,05-Jun-20
37.3689,05-Jun-20
37.2905,08-Jun-20
37.2905,08-Jun-20
36.8868,09-Jun-20
36.8868,09-Jun-20
37.0499,10-Jun-20
37.0499,10-Jun-20
36.4271,11-Jun-20
36.4271,11-Jun-20
36.7785,12-Jun-20
36.7785,12-Jun-20
36.1672,15-Jun-20
36.1672,15-Jun-20
36.5031,16-Jun-20
36.5031,16-Jun-20
36.3877,17-Jun-20
36.3877,17-Jun-20
37.0138,18-Jun-20
37.0138,18-Jun-20
37.4436,19-Jun-20
37.4436,19-Jun-20
37.8744,22-Jun-20
37.8744,22-Jun-20
38.5356,23-Jun-20
38.5356,23-Jun-20
37.8971,24-Jun-20
37.8971,24-Jun-20
37.9102,25-Jun-20
37.9102,25-Jun-20
38.1394,26-Jun-20
37.8013,29-Jun-20
37.8892,30-Jun-20
38.186,01-Jul-20
38.5702,02-Jul-20
38.7775,03-Jul-20
39.288,06-Jul-20
39.4149,07-Jul-20
39.0804,08-Jul-20
39.459,09-Jul-20
39.2307,10-Jul-20
39.2988,13-Jul-20
38.7161,14-Jul-20
38.6565,15-Jul-20
39.0395,16-Jul-20
39.6318,17-Jul-20
40.0806,20-Jul-20
40.5356,21-Jul-20
40.4359,22-Jul-20
40.9252,23-Jul-20
40.6889,24-Jul-20
40.3712,27-Jul-20
40.8062,28-Jul-20
40.5824,29-Jul-20
40.2948,30-Jul-20
40.2903,31-Jul-20
39.8579,03-Aug-20
40.4546,04-Aug-20
40.5921,05-Aug-20
40.932,06-Aug-20
40.8992,07-Aug-20
41.5571,10-Aug-20
41.6395,11-Aug-20
41.7259,12-Aug-20
41.8192,13-Aug-20
41.2878,14-Aug-20
41.5695,17-Aug-20
42.0672,18-Aug-20
42.1591,19-Aug-20
41.8421,20-Aug-20
42.118,21-Aug-20
42.3611,24-Aug-20
42.3984,25-Aug-20
42.5697,26-Aug-20
42.7419,27-Aug-20
43.0028,28-Aug-20
41.7188,31-Aug-20
42.0691,01-Sep-20
42.4193,02-Sep-20
42.3333,03-Sep-20
41.5931,04-Sep-20
41.5089,07-Sep-20
41.2825,08-Sep-20
41.0707,09-Sep-20
41.5537,10-Sep-20
41.5615,11-Sep-20
41.67,14-Sep-20
41.9974,15-Sep-20
42.407,16-Sep-20
42.095,17-Sep-20
42.14,18-Sep-20
40.9201,21-Sep-20
40.5506,22-Sep-20
40.4627,23-Sep-20
39.3756,24-Sep-20
40.3295,25-Sep-20
41.0638,28-Sep-20
40.9944,29-Sep-20
41.0236,30-Sep-20
41.5324,01-Oct-20
41.6517,05-Oct-20
42.1589,06-Oct-20
42.3518,07-Oct-20
42.6726,08-Oct-20
43.0005,09-Oct-20
42.853,12-Oct-20
42.7662,13-Oct-20
42.9539,14-Oct-20
41.9575,15-Oct-20
42.3629,16-Oct-20
42.7679,19-Oct-20
42.9317,20-Oct-20
43.1737,21-Oct-20
43.0354,22-Oct-20
43.2208,23-Oct-20
42.5367,26-Oct-20
43.0859,27-Oct-20
42.4919,28-Oct-20
42.3197,29-Oct-20
42.3496,30-Oct-20
42.6872,02-Nov-20
43.2051,03-Nov-20
43.4726,04-Nov-20
44.1738,05-Nov-20
44.6394,06-Nov-20
45.425,09-Nov-20
45.8764,10-Nov-20
46.4806,11-Nov-20
46.4461,12-Nov-20
46.623,13-Nov-20
47.3164,17-Nov-20
47.7991,18-Nov-20
47.1473,19-Nov-20
47.6423,20-Nov-20
47.8436,23-Nov-20
48.4004,24-Nov-20
47.6362,25-Nov-20
48.1643,26-Nov-20
48.3035,27-Nov-20
48.8697,01-Dec-20
48.8503,02-Dec-20
48.9979,03-Dec-20
49.4683,04-Dec-20
49.7626,07-Dec-20
49.8583,08-Dec-20
50.2159,09-Dec-20
50.0318,10-Dec-20
50.0955,11-Dec-20
50.2255,14-Dec-20
50.2978,15-Dec-20
50.7701,16-Dec-20
50.963,17-Dec-20
51.0656,18-Dec-20
49.096,21-Dec-20
49.728,22-Dec-20
50.2649,23-Dec-20
50.741,24-Dec-20
51.2866,28-Dec-20
51.4978,29-Dec-20
51.6975,30-Dec-20
51.8572,31-Dec-20
52.0788,01-Jan-21
52.6911,04-Jan-21
52.9182,05-Jan-21
52.9219,06-Jan-21
52.9457,07-Jan-21
53.7202,08-Jan-21
54.1609,11-Jan-21
54.5034,12-Jan-21
54.4543,13-Jan-21
54.4833,14-Jan-21
53.7264,15-Jan-21
53.0658,18-Jan-21
53.9725,19-Jan-21
54.2905,20-Jan-21
53.8463,21-Jan-21
53.0916,22-Jan-21
52.6923,25-Jan-21
51.7936,27-Jan-21
51.3828,28-Jan-21
50.8227,29-Jan-21
53.4061,01-Feb-21
54.9169,02-Feb-21
55.572,03-Feb-21
56.1734,04-Feb-21
56.2339,05-Feb-21
57.1273,08-Feb-21
57.0651,09-Feb-21
57.1705,10-Feb-21
57.3181,11-Feb-21
57.323,12-Feb-21
58.2201,15-Feb-21
58.1884,16-Feb-21
58.0645,17-Feb-21
57.6748,18-Feb-21
56.9376,19-Feb-21
55.8642,22-Feb-21
56.1413,23-Feb-21
57.0522,24-Feb-21
57.4631,25-Feb-21
55.5369,26-Feb-21
56.4937,01-Mar-21
57.209,02-Mar-21
58.1284,03-Mar-21
57.6704,04-Mar-21
56.9587,05-Mar-21
57.0784,08-Mar-21
57.3608,09-Mar-21
57.6819,10-Mar-21
57.0622,12-Mar-21
56.6751,15-Mar-21
56.5274,16-Mar-21
55.703,17-Mar-21
55.0783,18-Mar-21
55.6291,19-Mar-21
55.7042,22-Mar-21
56.1201,23-Mar-21
54.9875,24-Mar-21
54.1407,25-Mar-21
54.8533,26-Mar-21
55.9509,30-Mar-21
55.6375,31-Mar-21
56.2546,01-Apr-21
55.3064,05-Apr-21
55.3538,06-Apr-21
56.0758,07-Apr-21
56.2149,08-Apr-21
56.0058,09-Apr-21
53.804,12-Apr-21
54.759,13-Apr-21
54.9772,15-Apr-21
55.2985,16-Apr-21
54.2332,19-Apr-21
54.0661,20-Apr-21
54.5386,22-Apr-21
54.3278,23-Apr-21
54.7978,26-Apr-21
55.4,27-Apr-21
55.9823,28-Apr-21
55.8357,29-Apr-21
55.0254,30-Apr-21
55.0319,03-May-21
54.5077,04-May-21
55.0488,05-May-21
55.4807,06-May-21
55.6548,07-May-21
56.1864,10-May-21
55.9757,11-May-21
55.4557,12-May-21
55.1717,14-May-21
56.071,17-May-21
56.7906,18-May-21
56.6819,19-May-21
56.427,20-May-21
57.3736,21-May-21
57.6493,24-May-21
57.4996,25-May-21
57.6708,26-May-21
57.7337,27-May-21
58.0058,28-May-21
58.4442,31-May-21
58.354,01-Jun-21
58.6581,02-Jun-21
59.0083,03-Jun-21
58.9367,04-Jun-21
59.2532,07-Jun-21
59.2852,08-Jun-21
58.8805,09-Jun-21
59.2783,10-Jun-21
59.3109,11-Jun-21
59.3317,14-Jun-21
59.5577,15-Jun-21
59.1884,16-Jun-21
58.7895,17-Jun-21
58.5877,18-Jun-21
58.7867,21-Jun-21
58.9773,22-Jun-21
58.828,23-Jun-21
59.1754,24-Jun-21
59.7071,25-Jun-21
