"nav","nav_date","fund_name"
"44.2574","2020-01-01","SBI Large Cap"
"44.6484","2020-01-02","SBI Large Cap"
"44.3713","2020-01-03","SBI Large Cap"
"43.5184","2020-01-06","SBI Large Cap"
"43.7636","2020-01-07","SBI Large Cap"
"43.7077","2020-01-08","SBI Large Cap"
"44.4054","2020-01-09","SBI Large Cap"
"44.5881","2020-01-10","SBI Large Cap"
"44.8066","2020-01-13","SBI Large Cap"
"44.9","2020-01-14","SBI Large Cap"
"44.9114","2020-01-15","SBI Large Cap"
"45.0285","2020-01-16","SBI Large Cap"
"44.9569","2020-01-17","SBI Large Cap"
"44.5467","2020-01-20","SBI Large Cap"
"44.3","2020-01-21","SBI Large Cap"
"44.1933","2020-01-22","SBI Large Cap"
"44.633","2020-01-23","SBI Large Cap"
"45.0112","2020-01-24","SBI Large Cap"
"44.7343","2020-01-27","SBI Large Cap"
"44.5504","2020-01-28","SBI Large Cap"
"44.8418","2020-01-29","SBI Large Cap"
"44.572","2020-01-30","SBI Large Cap"
"44.3611","2020-01-31","SBI Large Cap"
"43.1412","2020-02-03","SBI Large Cap"
"44.0984","2020-02-04","SBI Large Cap"
"44.5834","2020-02-05","SBI Large Cap"
"44.8085","2020-02-06","SBI Large Cap"
"44.7394","2020-02-07","SBI Large Cap"
"44.319","2020-02-10","SBI Large Cap"
"44.5039","2020-02-11","SBI Large Cap"
"44.7122","2020-02-12","SBI Large Cap"
"44.5884","2020-02-13","SBI Large Cap"
"44.3462","2020-02-14","SBI Large Cap"
"44.0249","2020-02-17","SBI Large Cap"
"43.8626","2020-02-18","SBI Large Cap"
"44.3534","2020-02-19","SBI Large Cap"
"44.3041","2020-02-20","SBI Large Cap"
"43.436","2020-02-24","SBI Large Cap"
"43.2774","2020-02-25","SBI Large Cap"
"42.8508","2020-02-26","SBI Large Cap"
"42.6363","2020-02-27","SBI Large Cap"
"41.2981","2020-02-28","SBI Large Cap"
"41.076","2020-03-02","SBI Large Cap"
"41.7057","2020-03-03","SBI Large Cap"
"41.332","2020-03-04","SBI Large Cap"
"41.3667","2020-03-05","SBI Large Cap"
"40.519","2020-03-06","SBI Large Cap"
"39.0039","2020-03-09","SBI Large Cap"
"38.9105","2020-03-11","SBI Large Cap"
"35.702","2020-03-12","SBI Large Cap"
"36.8693","2020-03-13","SBI Large Cap"
"34.5136","2020-03-16","SBI Large Cap"
"33.7795","2020-03-17","SBI Large Cap"
"32.0292","2020-03-18","SBI Large Cap"
"31.1852","2020-03-19","SBI Large Cap"
"32.5202","2020-03-20","SBI Large Cap"
"28.3329","2020-03-23","SBI Large Cap"
"28.8656","2020-03-24","SBI Large Cap"
"30.643","2020-03-25","SBI Large Cap"
"31.7946","2020-03-26","SBI Large Cap"
"31.7481","2020-03-27","SBI Large Cap"
"30.5545","2020-03-30","SBI Large Cap"
"31.7215","2020-03-31","SBI Large Cap"
"30.5941","2020-04-01","SBI Large Cap"
"30.5941","2020-04-01","SBI Large Cap"
"29.9846","2020-04-03","SBI Large Cap"
"29.9846","2020-04-03","SBI Large Cap"
"32.302","2020-04-07","SBI Large Cap"
"32.302","2020-04-07","SBI Large Cap"
"32.3132","2020-04-08","SBI Large Cap"
"32.3132","2020-04-08","SBI Large Cap"
"33.7305","2020-04-09","SBI Large Cap"
"33.7305","2020-04-09","SBI Large Cap"
"33.3064","2020-04-13","SBI Large Cap"
"33.3064","2020-04-13","SBI Large Cap"
"33.3214","2020-04-15","SBI Large Cap"
"33.3214","2020-04-15","SBI Large Cap"
"33.7613","2020-04-16","SBI Large Cap"
"33.7613","2020-04-16","SBI Large Cap"
"34.6718","2020-04-17","SBI Large Cap"
"34.6718","2020-04-17","SBI Large Cap"
"34.5689","2020-04-20","SBI Large Cap"
"34.5689","2020-04-20","SBI Large Cap"
"33.6302","2020-04-21","SBI Large Cap"
"33.6302","2020-04-21","SBI Large Cap"
"34.1002","2020-04-22","SBI Large Cap"
"34.1002","2020-04-22","SBI Large Cap"
"34.4706","2020-04-23","SBI Large Cap"
"34.4706","2020-04-23","SBI Large Cap"
"33.7636","2020-04-24","SBI Large Cap"
"33.7636","2020-04-24","SBI Large Cap"
"34.3585","2020-04-27","SBI Large Cap"
"34.3585","2020-04-27","SBI Large Cap"
"34.6001","2020-04-28","SBI Large Cap"
"34.6001","2020-04-28","SBI Large Cap"
"35.2403","2020-04-29","SBI Large Cap"
"35.2403","2020-04-29","SBI Large Cap"
"36.2242","2020-04-30","SBI Large Cap"
"36.2242","2020-04-30","SBI Large Cap"
"34.2619","2020-05-04","SBI Large Cap"
"34.2619","2020-05-04","SBI Large Cap"
"33.9496","2020-05-05","SBI Large Cap"
"33.9496","2020-05-05","SBI Large Cap"
"34.2533","2020-05-06","SBI Large Cap"
"34.2533","2020-05-06","SBI Large Cap"
"33.9274","2020-05-07","SBI Large Cap"
"33.9274","2020-05-07","SBI Large Cap"
"34.0683","2020-05-08","SBI Large Cap"
"34.0683","2020-05-08","SBI Large Cap"
"34.1246","2020-05-11","SBI Large Cap"
"34.1246","2020-05-11","SBI Large Cap"
"34.1266","2020-05-12","SBI Large Cap"
"34.1266","2020-05-12","SBI Large Cap"
"34.7304","2020-05-13","SBI Large Cap"
"34.7304","2020-05-13","SBI Large Cap"
"33.9682","2020-05-14","SBI Large Cap"
"33.9682","2020-05-14","SBI Large Cap"
"33.8434","2020-05-15","SBI Large Cap"
"33.8434","2020-05-15","SBI Large Cap"
"32.4856","2020-05-18","SBI Large Cap"
"32.4856","2020-05-18","SBI Large Cap"
"32.6679","2020-05-19","SBI Large Cap"
"32.6679","2020-05-19","SBI Large Cap"
"33.431","2020-05-20","SBI Large Cap"
"33.431","2020-05-20","SBI Large Cap"
"33.5859","2020-05-21","SBI Large Cap"
"33.5859","2020-05-21","SBI Large Cap"
"33.2585","2020-05-22","SBI Large Cap"
"33.2585","2020-05-22","SBI Large Cap"
"33.4788","2020-05-26","SBI Large Cap"
"33.4788","2020-05-26","SBI Large Cap"
"34.3089","2020-05-27","SBI Large Cap"
"34.3089","2020-05-27","SBI Large Cap"
"35.0155","2020-05-28","SBI Large Cap"
"35.0155","2020-05-28","SBI Large Cap"
"35.5864","2020-05-29","SBI Large Cap"
"35.5864","2020-05-29","SBI Large Cap"
"36.2612","2020-06-01","SBI Large Cap"
"36.2612","2020-06-01","SBI Large Cap"
"36.6433","2020-06-02","SBI Large Cap"
"36.6433","2020-06-02","SBI Large Cap"
"36.9864","2020-06-03","SBI Large Cap"
"36.9864","2020-06-03","SBI Large Cap"
"36.8147","2020-06-04","SBI Large Cap"
"36.8147","2020-06-04","SBI Large Cap"
"37.3689","2020-06-05","SBI Large Cap"
"37.3689","2020-06-05","SBI Large Cap"
"37.2905","2020-06-08","SBI Large Cap"
"37.2905","2020-06-08","SBI Large Cap"
"36.8868","2020-06-09","SBI Large Cap"
"36.8868","2020-06-09","SBI Large Cap"
"37.0499","2020-06-10","SBI Large Cap"
"37.0499","2020-06-10","SBI Large Cap"
"36.4271","2020-06-11","SBI Large Cap"
"36.4271","2020-06-11","SBI Large Cap"
"36.7785","2020-06-12","SBI Large Cap"
"36.7785","2020-06-12","SBI Large Cap"
"36.1672","2020-06-15","SBI Large Cap"
"36.1672","2020-06-15","SBI Large Cap"
"36.5031","2020-06-16","SBI Large Cap"
"36.5031","2020-06-16","SBI Large Cap"
"36.3877","2020-06-17","SBI Large Cap"
"36.3877","2020-06-17","SBI Large Cap"
"37.0138","2020-06-18","SBI Large Cap"
"37.0138","2020-06-18","SBI Large Cap"
"37.4436","2020-06-19","SBI Large Cap"
"37.4436","2020-06-19","SBI Large Cap"
"37.8744","2020-06-22","SBI Large Cap"
"37.8744","2020-06-22","SBI Large Cap"
"38.5356","2020-06-23","SBI Large Cap"
"38.5356","2020-06-23","SBI Large Cap"
"37.8971","2020-06-24","SBI Large Cap"
"37.8971","2020-06-24","SBI Large Cap"
"37.9102","2020-06-25","SBI Large Cap"
"37.9102","2020-06-25","SBI Large Cap"
"38.1394","2020-06-26","SBI Large Cap"
"37.8013","2020-06-29","SBI Large Cap"
"37.8892","2020-06-30","SBI Large Cap"
"38.186","2020-07-01","SBI Large Cap"
"38.5702","2020-07-02","SBI Large Cap"
"38.7775","2020-07-03","SBI Large Cap"
"39.288","2020-07-06","SBI Large Cap"
"39.4149","2020-07-07","SBI Large Cap"
"39.0804","2020-07-08","SBI Large Cap"
"39.459","2020-07-09","SBI Large Cap"
"39.2307","2020-07-10","SBI Large Cap"
"39.2988","2020-07-13","SBI Large Cap"
"38.7161","2020-07-14","SBI Large Cap"
"38.6565","2020-07-15","SBI Large Cap"
"39.0395","2020-07-16","SBI Large Cap"
"39.6318","2020-07-17","SBI Large Cap"
"40.0806","2020-07-20","SBI Large Cap"
"40.5356","2020-07-21","SBI Large Cap"
"40.4359","2020-07-22","SBI Large Cap"
"40.9252","2020-07-23","SBI Large Cap"
"40.6889","2020-07-24","SBI Large Cap"
"40.3712","2020-07-27","SBI Large Cap"
"40.8062","2020-07-28","SBI Large Cap"
"40.5824","2020-07-29","SBI Large Cap"
"40.2948","2020-07-30","SBI Large Cap"
"40.2903","2020-07-31","SBI Large Cap"
"39.8579","2020-08-03","SBI Large Cap"
"40.4546","2020-08-04","SBI Large Cap"
"40.5921","2020-08-05","SBI Large Cap"
"40.932","2020-08-06","SBI Large Cap"
"40.8992","2020-08-07","SBI Large Cap"
"41.5571","2020-08-10","SBI Large Cap"
"41.6395","2020-08-11","SBI Large Cap"
"41.7259","2020-08-12","SBI Large Cap"
"41.8192","2020-08-13","SBI Large Cap"
"41.2878","2020-08-14","SBI Large Cap"
"41.5695","2020-08-17","SBI Large Cap"
"42.0672","2020-08-18","SBI Large Cap"
"42.1591","2020-08-19","SBI Large Cap"
"41.8421","2020-08-20","SBI Large Cap"
"42.118","2020-08-21","SBI Large Cap"
"42.3611","2020-08-24","SBI Large Cap"
"42.3984","2020-08-25","SBI Large Cap"
"42.5697","2020-08-26","SBI Large Cap"
"42.7419","2020-08-27","SBI Large Cap"
"43.0028","2020-08-28","SBI Large Cap"
"41.7188","2020-08-31","SBI Large Cap"
"42.0691","2020-09-01","SBI Large Cap"
"42.4193","2020-09-02","SBI Large Cap"
"42.3333","2020-09-03","SBI Large Cap"
"41.5931","2020-09-04","SBI Large Cap"
"41.5089","2020-09-07","SBI Large Cap"
"41.2825","2020-09-08","SBI Large Cap"
"41.0707","2020-09-09","SBI Large Cap"
"41.5537","2020-09-10","SBI Large Cap"
"41.5615","2020-09-11","SBI Large Cap"
"41.67","2020-09-14","SBI Large Cap"
"41.9974","2020-09-15","SBI Large Cap"
"42.407","2020-09-16","SBI Large Cap"
"42.095","2020-09-17","SBI Large Cap"
"42.14","2020-09-18","SBI Large Cap"
"40.9201","2020-09-21","SBI Large Cap"
"40.5506","2020-09-22","SBI Large Cap"
"40.4627","2020-09-23","SBI Large Cap"
"39.3756","2020-09-24","SBI Large Cap"
"40.3295","2020-09-25","SBI Large Cap"
"41.0638","2020-09-28","SBI Large Cap"
"40.9944","2020-09-29","SBI Large Cap"
"41.0236","2020-09-30","SBI Large Cap"
"41.5324","2020-10-01","SBI Large Cap"
"41.6517","2020-10-05","SBI Large Cap"
"42.1589","2020-10-06","SBI Large Cap"
"42.3518","2020-10-07","SBI Large Cap"
"42.6726","2020-10-08","SBI Large Cap"
"43.0005","2020-10-09","SBI Large Cap"
"42.853","2020-10-12","SBI Large Cap"
"42.7662","2020-10-13","SBI Large Cap"
"42.9539","2020-10-14","SBI Large Cap"
"41.9575","2020-10-15","SBI Large Cap"
"42.3629","2020-10-16","SBI Large Cap"
"42.7679","2020-10-19","SBI Large Cap"
"42.9317","2020-10-20","SBI Large Cap"
"43.1737","2020-10-21","SBI Large Cap"
"43.0354","2020-10-22","SBI Large Cap"
"43.2208","2020-10-23","SBI Large Cap"
"42.5367","2020-10-26","SBI Large Cap"
"43.0859","2020-10-27","SBI Large Cap"
"42.4919","2020-10-28","SBI Large Cap"
"42.3197","2020-10-29","SBI Large Cap"
"42.3496","2020-10-30","SBI Large Cap"
"42.6872","2020-11-02","SBI Large Cap"
"43.2051","2020-11-03","SBI Large Cap"
"43.4726","2020-11-04","SBI Large Cap"
"44.1738","2020-11-05","SBI Large Cap"
"44.6394","2020-11-06","SBI Large Cap"
"45.425","2020-11-09","SBI Large Cap"
"45.8764","2020-11-10","SBI Large Cap"
"46.4806","2020-11-11","SBI Large Cap"
"46.4461","2020-11-12","SBI Large Cap"
"46.623","2020-11-13","SBI Large Cap"
"47.3164","2020-11-17","SBI Large Cap"
"47.7991","2020-11-18","SBI Large Cap"
"47.1473","2020-11-19","SBI Large Cap"
"47.6423","2020-11-20","SBI Large Cap"
"47.8436","2020-11-23","SBI Large Cap"
"48.4004","2020-11-24","SBI Large Cap"
"47.6362","2020-11-25","SBI Large Cap"
"48.1643","2020-11-26","SBI Large Cap"
"48.3035","2020-11-27","SBI Large Cap"
"48.8697","2020-12-01","SBI Large Cap"
"48.8503","2020-12-02","SBI Large Cap"
"48.9979","2020-12-03","SBI Large Cap"
"49.4683","2020-12-04","SBI Large Cap"
"49.7626","2020-12-07","SBI Large Cap"
"49.8583","2020-12-08","SBI Large Cap"
"50.2159","2020-12-09","SBI Large Cap"
"50.0318","2020-12-10","SBI Large Cap"
"50.0955","2020-12-11","SBI Large Cap"
"50.2255","2020-12-14","SBI Large Cap"
"50.2978","2020-12-15","SBI Large Cap"
"50.7701","2020-12-16","SBI Large Cap"
"50.963","2020-12-17","SBI Large Cap"
"51.0656","2020-12-18","SBI Large Cap"
"49.096","2020-12-21","SBI Large Cap"
"49.728","2020-12-22","SBI Large Cap"
"50.2649","2020-12-23","SBI Large Cap"
"50.741","2020-12-24","SBI Large Cap"
"51.2866","2020-12-28","SBI Large Cap"
"51.4978","2020-12-29","SBI Large Cap"
"51.6975","2020-12-30","SBI Large Cap"
"51.8572","2020-12-31","SBI Large Cap"
"52.0788","2021-01-01","SBI Large Cap"
"52.6911","2021-01-04","SBI Large Cap"
"52.9182","2021-01-05","SBI Large Cap"
"52.9219","2021-01-06","SBI Large Cap"
"52.9457","2021-01-07","SBI Large Cap"
"53.7202","2021-01-08","SBI Large Cap"
"54.1609","2021-01-11","SBI Large Cap"
"54.5034","2021-01-12","SBI Large Cap"
"54.4543","2021-01-13","SBI Large Cap"
"54.4833","2021-01-14","SBI Large Cap"
