"nav","nav_date","fund_name","daily_return"
43.16,2020-01-01,"Axis Mid Cap",NA
43.26,2020-01-02,"Axis Mid Cap",0.00231696014828548
43.11,2020-01-03,"Axis Mid Cap",-0.00346740638002771
42.42,2020-01-06,"Axis Mid Cap",-0.0160055671537926
42.62,2020-01-07,"Axis Mid Cap",0.00471475719000461
42.8,2020-01-08,"Axis Mid Cap",0.00422336931018301
43.26,2020-01-09,"Axis Mid Cap",0.0107476635514019
43.3,2020-01-10,"Axis Mid Cap",0.000924641701340711
43.48,2020-01-13,"Axis Mid Cap",0.00415704387990761
43.84,2020-01-14,"Axis Mid Cap",0.00827966881324762
44.14,2020-01-15,"Axis Mid Cap",0.00684306569343059
44.33,2020-01-16,"Axis Mid Cap",0.00430448572723148
44.51,2020-01-17,"Axis Mid Cap",0.00406045567335889
44.21,2020-01-20,"Axis Mid Cap",-0.00674005841383952
44.12,2020-01-21,"Axis Mid Cap",-0.00203573852069675
44.02,2020-01-22,"Axis Mid Cap",-0.00226654578422471
44.5,2020-01-23,"Axis Mid Cap",0.0109041344843252
44.9,2020-01-24,"Axis Mid Cap",0.00898876404494379
44.88,2020-01-27,"Axis Mid Cap",-0.000445434298440891
45.08,2020-01-28,"Axis Mid Cap",0.00445632798573966
45.16,2020-01-29,"Axis Mid Cap",0.00177462289263528
45.08,2020-01-30,"Axis Mid Cap",-0.00177147918511954
45.16,2020-01-31,"Axis Mid Cap",0.00177462289263528
44.72,2020-02-03,"Axis Mid Cap",-0.00974313551815761
45.19,2020-02-04,"Axis Mid Cap",0.0105098389982111
45.58,2020-02-05,"Axis Mid Cap",0.00863022792653243
45.88,2020-02-06,"Axis Mid Cap",0.00658183413777982
46.21,2020-02-07,"Axis Mid Cap",0.00719267654751522
46.17,2020-02-10,"Axis Mid Cap",-0.000865613503570637
46.11,2020-02-11,"Axis Mid Cap",-0.00129954515919433
46.36,2020-02-12,"Axis Mid Cap",0.0054218173931902
46.35,2020-02-13,"Axis Mid Cap",-0.000215703192407205
46.1,2020-02-14,"Axis Mid Cap",-0.00539374325782093
45.75,2020-02-17,"Axis Mid Cap",-0.00759219088937096
45.62,2020-02-18,"Axis Mid Cap",-0.00284153005464486
46.36,2020-02-19,"Axis Mid Cap",0.016220955721175
46.59,2020-02-20,"Axis Mid Cap",0.00496117342536678
46.08,2020-02-24,"Axis Mid Cap",-0.0109465550547329
45.71,2020-02-25,"Axis Mid Cap",-0.00802951388888883
45.3,2020-02-26,"Axis Mid Cap",-0.00896959089914688
45.15,2020-02-27,"Axis Mid Cap",-0.00331125827814566
44.39,2020-02-28,"Axis Mid Cap",-0.0168327796234773
44.13,2020-03-02,"Axis Mid Cap",-0.00585717503942325
44.71,2020-03-03,"Axis Mid Cap",0.0131429866304101
43.95,2020-03-04,"Axis Mid Cap",-0.0169984343547304
44.06,2020-03-05,"Axis Mid Cap",0.00250284414106938
43.58,2020-03-06,"Axis Mid Cap",-0.0108942351339084
42.47,2020-03-09,"Axis Mid Cap",-0.0254703992657182
42.26,2020-03-11,"Axis Mid Cap",-0.00494466682364024
39.9,2020-03-12,"Axis Mid Cap",-0.0558447704685281
40.77,2020-03-13,"Axis Mid Cap",0.0218045112781956
38.97,2020-03-16,"Axis Mid Cap",-0.044150110375276
38.34,2020-03-17,"Axis Mid Cap",-0.0161662817551962
36.59,2020-03-18,"Axis Mid Cap",-0.0456442357850809
35.23,2020-03-19,"Axis Mid Cap",-0.0371686253074612
36.76,2020-03-20,"Axis Mid Cap",0.0434288958274198
32.91,2020-03-23,"Axis Mid Cap",-0.104733405875952
33.42,2020-03-24,"Axis Mid Cap",0.0154968094804013
34.47,2020-03-25,"Axis Mid Cap",0.0314183123877917
35.52,2020-03-26,"Axis Mid Cap",0.0304612706701481
35.26,2020-03-27,"Axis Mid Cap",-0.00731981981981996
34.67,2020-03-30,"Axis Mid Cap",-0.016732841747022
35.53,2020-03-31,"Axis Mid Cap",0.0248053071820017
34.99,2020-04-01,"Axis Mid Cap",-0.0151984238671545
34.99,2020-04-01,"Axis Mid Cap",0
34.64,2020-04-03,"Axis Mid Cap",-0.010002857959417
34.64,2020-04-03,"Axis Mid Cap",0
36.18,2020-04-07,"Axis Mid Cap",0.0444572748267898
36.18,2020-04-07,"Axis Mid Cap",0
36.99,2020-04-08,"Axis Mid Cap",0.0223880597014926
36.99,2020-04-08,"Axis Mid Cap",0
37.93,2020-04-09,"Axis Mid Cap",0.025412273587456
37.93,2020-04-09,"Axis Mid Cap",0
37.29,2020-04-13,"Axis Mid Cap",-0.0168731874505668
37.29,2020-04-13,"Axis Mid Cap",0
37.34,2020-04-15,"Axis Mid Cap",0.00134084204880676
37.34,2020-04-15,"Axis Mid Cap",0
37.65,2020-04-16,"Axis Mid Cap",0.00830208891269403
37.65,2020-04-16,"Axis Mid Cap",0
38.21,2020-04-17,"Axis Mid Cap",0.0148738379814078
38.21,2020-04-17,"Axis Mid Cap",0
38.06,2020-04-20,"Axis Mid Cap",-0.00392567390735406
38.06,2020-04-20,"Axis Mid Cap",0
37.32,2020-04-21,"Axis Mid Cap",-0.0194429847609039
37.32,2020-04-21,"Axis Mid Cap",0
37.56,2020-04-22,"Axis Mid Cap",0.00643086816720263
37.56,2020-04-22,"Axis Mid Cap",0
37.93,2020-04-23,"Axis Mid Cap",0.00985090521831729
37.93,2020-04-23,"Axis Mid Cap",0
37.5,2020-04-24,"Axis Mid Cap",-0.0113366728183496
37.5,2020-04-24,"Axis Mid Cap",0
38.26,2020-04-27,"Axis Mid Cap",0.0202666666666666
38.26,2020-04-27,"Axis Mid Cap",0
38.47,2020-04-28,"Axis Mid Cap",0.00548876110820703
38.47,2020-04-28,"Axis Mid Cap",0
38.91,2020-04-29,"Axis Mid Cap",0.0114374837535742
38.91,2020-04-29,"Axis Mid Cap",0
39.44,2020-04-30,"Axis Mid Cap",0.013621177075302
39.44,2020-04-30,"Axis Mid Cap",0
38.23,2020-05-04,"Axis Mid Cap",-0.0306795131845842
38.23,2020-05-04,"Axis Mid Cap",0
37.83,2020-05-05,"Axis Mid Cap",-0.0104629871828407
37.83,2020-05-05,"Axis Mid Cap",0
38.18,2020-05-06,"Axis Mid Cap",0.00925191646841135
38.18,2020-05-06,"Axis Mid Cap",0
37.98,2020-05-07,"Axis Mid Cap",-0.00523834468308022
37.98,2020-05-07,"Axis Mid Cap",0
38.04,2020-05-08,"Axis Mid Cap",0.00157977883096373
38.04,2020-05-08,"Axis Mid Cap",0
38.24,2020-05-11,"Axis Mid Cap",0.0052576235541536
38.24,2020-05-11,"Axis Mid Cap",0
38.11,2020-05-12,"Axis Mid Cap",-0.00339958158995823
38.11,2020-05-12,"Axis Mid Cap",0
38.47,2020-05-13,"Axis Mid Cap",0.00944633954342691
38.47,2020-05-13,"Axis Mid Cap",0
